tab 	specimens
analysts	citations	dir_alpha95	dir_comp	dir_dang	dir_dec	dir_inc	dir_mad_free	dir_n_comps	dir_n_measurements	dir_tilt_correction	experiments	instrument_codes	int_corr	location	meas_step_max	meas_step_min	meas_step_unit	method_codes	result_quality	sample	site	software_packages	specimen
	This study		mag	3.2	80.3	-67.3	2.0	1	10	100	AP4-3a:LP-DIR-T	hargrave 2016-05-18 11:47:09	u	Agate Point	853	673	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	AP4-3	AP4	pmagpy-3.4.1: demag_gui.v.3.0	AP4-3a
	This study		mag	1.8	349.9	-4.5	2.7	1	10	-1	AP4-4a:LP-DIR-T	hargrave 2016-05-18 11:48:41	u	Agate Point	853	673	K	LP-DIR-T:DE-BFL:DA-DIR	g	AP4-4	AP4	pmagpy-3.4.1: demag_gui.v.3.0	AP4-4a
	This study		mag	1.8	106.4	-66.5	2.7	1	10	0	AP4-4a:LP-DIR-T	hargrave 2016-05-18 11:48:41	u	Agate Point	853	673	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	AP4-4	AP4	pmagpy-3.4.1: demag_gui.v.3.0	AP4-4a
	This study		mag	1.8	74.4	-71.1	2.7	1	10	100	AP4-4a:LP-DIR-T	hargrave 2016-05-18 11:48:41	u	Agate Point	853	673	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	AP4-4	AP4	pmagpy-3.4.1: demag_gui.v.3.0	AP4-4a
	This study		mag	4.6	345.8	3.7	14.0	1	10	-1	AP4-5a:LP-DIR-T	hargrave 2016-05-18 11:50:16	u	Agate Point	853	673	K	LP-DIR-T:DE-BFL:DA-DIR	g	AP4-5	AP4	pmagpy-3.4.1: demag_gui.v.3.0	AP4-5a
	This study		mag	4.6	103.1	-60.8	14.0	1	10	0	AP4-5a:LP-DIR-T	hargrave 2016-05-18 11:50:16	u	Agate Point	853	673	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	AP4-5	AP4	pmagpy-3.4.1: demag_gui.v.3.0	AP4-5a
	This study		mag	4.6	78.8	-65.5	14.0	1	10	100	AP4-5a:LP-DIR-T	hargrave 2016-05-18 11:50:16	u	Agate Point	853	673	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	AP4-5	AP4	pmagpy-3.4.1: demag_gui.v.3.0	AP4-5a
	This study		mag	1.2	350.4	13.2	2.0	1	10	-1	AP4-6a:LP-DIR-T	hargrave 2016-05-18 11:52:09	u	Agate Point	853	673	K	LP-DIR-T:DE-BFL:DA-DIR	g	AP4-6	AP4	pmagpy-3.4.1: demag_gui.v.3.0	AP4-6a
	This study		mag	1.2	122.3	-58.4	2.0	1	10	0	AP4-6a:LP-DIR-T	hargrave 2016-05-18 11:52:09	u	Agate Point	853	673	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	AP4-6	AP4	pmagpy-3.4.1: demag_gui.v.3.0	AP4-6a
	This study		mag	1.2	103.5	-67.3	2.0	1	10	100	AP4-6a:LP-DIR-T	hargrave 2016-05-18 11:52:09	u	Agate Point	853	673	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	AP4-6	AP4	pmagpy-3.4.1: demag_gui.v.3.0	AP4-6a
