tab 	sites
age	age_high	age_low	age_unit	bed_dip	bed_dip_direction	citations	description	dir_alpha95	dir_dec	dir_inc	dir_n_specimens	geologic_classes	geologic_types	height	lat	lithologies	location	lon	method_codes	site	vgp_lat	vgp_lon
1106	1110	1103	Ma			This study	SI8(3.9 to 19.3)	5.3	123	-71.6	7			2339.9	48.7465		Simpson Island	272.3805	DE-FM:LP-DC4:LP-DIR-AF	SI8(3.9 to 19.3)	55.6	217.1
1106	1110	1103	Ma			This study	SI8(47.5 to 56.7)	5.6	121.2	-64.4	6			2383.5	48.7458		Simpson Island	272.3789	DE-FM:LP-DC4:LP-DIR-AF	SI8(47.5 to 56.7)	51.2	201.6
1106	1110	1103	Ma			This study	SI8(62.9 to 84.4)	2.7	103.3	-69.6	8			2398.9	48.7456		Simpson Island	272.3777	DE-FM:LP-DC4:LP-DIR-AF	SI8(62.9 to 84.4)	43.9	218.6
1106	1110	1103	Ma			This study	SI8(84.4 to 102.6)	4.3	80.9	-66	8			2420.4	48.7453		Simpson Island	272.3761	DE-FM:LP-DC4:LP-DIR-AF	SI8(84.4 to 102.6)	29.5	223.4
1106	1110	1103	Ma			This study	SI9(0.0 to 9.2)	3.2	54.5	-67.3	7			1183	48.7721		Simpson Island	272.3778	DE-FM:LP-DC4:LP-DIR-AF	SI9(0.0 to 9.2)	19.4	238.8
1106	1110	1103	Ma			This study	SI9(12.0 to 21.2)	4.1	64.4	-65.3	8			1195	48.7718		Simpson Island	272.3779	DE-FM:LP-DC4:LP-DIR-AF	SI9(12.0 to 21.2)	21.1	231.5
1106	1110	1103	Ma			This study	SI9(139.8 to 160.0)	5.4	96	-51.8	8			1322.8	48.768		Simpson Island	272.3808	DE-FM:LP-DC4:LP-DIR-AF	SI9(139.8 to 160.0)	27.5	201.2
1106	1110	1103	Ma			This study	SI9(160.0 to 166.5)	4.7	98.5	-53.2	8			1343	48.7676		Simpson Island	272.3811	DE-FM:LP-DC4:LP-DIR-AF	SI9(160.0 to 166.5)	29.9	200.8
1106	1110	1103	Ma			This study	SI9(166.5 to 171.4)	9.3	109.6	-53	8			1349.5	48.7674		Simpson Island	272.3815	DE-FM:LP-DC4:LP-DIR-AF	SI9(166.5 to 171.4)	36.9	193.5
1106	1110	1103	Ma			This study	SI9(171.4 to 188.8)	6.9	111.7	-46.1	6			1354.4	48.7672		Simpson Island	272.381	DE-FM:LP-DC4:LP-DIR-AF	SI9(171.4 to 188.8)	34.3	186.3
1106	1110	1103	Ma			This study	SI9(312.1 to 321.0)	2.8	121.8	-61.2	8			1495.1	48.7662		Simpson Island	272.3819	DE-FM:LP-DC4:LP-DIR-AF	SI9(312.1 to 321.0)	49.7	195.8
1106	1110	1103	Ma			This study	SI9(336.4 to 353.8)	3.9	115.2	-56.4	8			1519.4	48.763		Simpson Island	272.3849	DE-FM:LP-DC4:LP-DIR-AF	SI9(336.4 to 353.8)	42.6	193.4
1106	1110	1103	Ma			This study	SI9(375.9 to 381.0)	7.3	116.6	-55.3	4			1558.9	48.7623		Simpson Island	272.3858	DE-FM:LP-DC4:LP-DIR-AF	SI9(375.9 to 381.0)	42.8	191.3
1106	1110	1103	Ma			This study	SI9(387.6 to 395.3)	6.9	117.8	-56.2	7			1570.6	48.762		Simpson Island	272.386	DE-FM:LP-DC4:LP-DIR-AF	SI9(387.6 to 395.3)	44.1	191.4
1106	1110	1103	Ma			This study	SI9(395.3 to 399.3)	4.1	118.3	-63.8	7			1578.3	48.7617		Simpson Island	272.3862	DE-FM:LP-DC4:LP-DIR-AF	SI9(395.3 to 399.3)	49	201.9
1106	1110	1103	Ma			This study	SI9(66.9 to 84.0)	3.6	67.4	-68.1	7			1249.9	48.77		Simpson Island	272.3797	DE-FM:LP-DC4:LP-DIR-AF	SI9(66.9 to 84.0)	25.3	232.7
1106	1110	1103	Ma			This study	SI9(84.0 to 88.9)	4.2	47.1	-69.2	8			1267	48.7696		Simpson Island	272.3796	DE-FM:LP-DC4:LP-DIR-AF	SI9(84.0 to 88.9)	19.1	244.4
