tab 	pmag_samples
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_names	magic_method_codes	magic_software_packages	pmag_criteria_codes	sample_comp_name	sample_dec	sample_direction_type	sample_inc	sample_n	sample_n_lines	sample_n_planes	sample_tilt_correction
This study	North Shore Volcanics	ns036a	ns036	ns036a1	LP-DIR-AF : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	296	l	45.7	1	1	0	0
This study	North Shore Volcanics	ns036b	ns036	ns036b1	LP-DIR-T : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	296.4	l	43.5	1	1	0	0
This study	North Shore Volcanics	ns036d	ns036	ns036d1	LP-DIR-T : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	304.7	l	37.6	1	1	0	0
This study	North Shore Volcanics	ns039a	ns039	ns039a1	LP-DIR-AF : LP-DIR-T : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	290.2	l	20.9	1	1	0	0
This study	North Shore Volcanics	ns039b	ns039	ns039b1	LP-DIR-T : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	285.8	l	19.6	1	1	0	0
This study	North Shore Volcanics	ns039c	ns039	ns039c1	LP-DIR-T : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	288.4	l	21.2	1	1	0	0
This study	North Shore Volcanics	ns039d	ns039	ns039d2	LP-DIR-T : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	289.1	l	23.2	1	1	0	0
This study	North Shore Volcanics	ns039e	ns039	ns039e1	LP-DIR-T : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	290.3	l	21.3	1	1	0	0
This study	North Shore Volcanics	ns044a	ns044	ns044a1	LP-DIR-AF : LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	294.4	l	29.1	1	1	0	0
This study	North Shore Volcanics	ns044b	ns044	ns044b1	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	292.7	l	29	1	1	0	0
