tab 	pmag_sites
er_citation_names	er_location_name	er_site_name	er_specimen_names	magic_method_codes	magic_software_packages	pmag_criteria_codes	site_alpha95	site_comp_name	site_dec	site_description	site_inc	site_k	site_n	site_n_lines	site_n_planes	site_polarity	site_r	site_tilt_correction
This study	North Shore Volcanics	ns002	ns002b1 : ns002c1 : ns002d1 : ns002f1	DE-FM : DA-DIR-TILT	pmagpy-2.03	DE-SPEC	6.6	HEM	283.5	Hematite remanence.	38.7	192	4	4	0	n	3.9844	100
This study	North Shore Volcanics	ns003	ns003d2 : ns003e1 : ns003f1	DE-FM : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	8.1	HEM	296.5	Hematite remanence.	41.3	234.1	3	3	0	n	2.9915	0
This study	North Shore Volcanics	ns003	ns003d2 : ns003e1 : ns003f1	DE-FM : DA-DIR-TILT	pmagpy-2.03	DE-SPEC	8.1	HEM	286.6	Hematite remanence.	48.2	232.9	3	3	0	n	2.9914	100
This study	North Shore Volcanics	ns006	ns006b1 : ns006c1 : ns006d2 : ns006e2 : ns006f1	DE-FM : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	3	HEM	301.1	Hematite remanence.	30.4	657	5	5	0	n	4.9939	0
This study	North Shore Volcanics	ns006	ns006b1 : ns006c1 : ns006d2 : ns006e2 : ns006f1	DE-FM : DA-DIR-TILT	pmagpy-2.03	DE-SPEC	3	HEM	294.9	Hematite remanence.	38.4	653.4	5	5	0	n	4.9939	100
This study	North Shore Volcanics	ns007	ns007a1 : ns007c1 : ns007d1 : ns007f1 : ns007g1	DE-FM : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	5.8	HEM	307.4	Hematite remanence.	31.8	173.2	5	5	0	n	4.9769	0
This study	North Shore Volcanics	ns007	ns007a1 : ns007c1 : ns007d1 : ns007f1 : ns007g1	DE-FM : DA-DIR-TILT	pmagpy-2.03	DE-SPEC	5.8	HEM	301.5	Hematite remanence.	40.6	173.7	5	5	0	n	4.977	100
This study	North Shore Volcanics	ns008	ns008a1 : ns008b1 : ns008c1 : ns008d1 : ns008h1	DE-FM : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	4.8	HEM	313.9	Hematite remanence.	34	255.1	5	5	0	n	4.9843	0
This study	North Shore Volcanics	ns008	ns008a1 : ns008b1 : ns008c1 : ns008d1 : ns008h1	DE-FM : DA-DIR-TILT	pmagpy-2.03	DE-SPEC	4.8	HEM	309.4	Hematite remanence.	44.7	252.3	5	5	0	n	4.9841	100
This study	North Shore Volcanics	ns009	ns009a1 : ns009c1 : ns009e1 : ns009f1	DE-FM : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	4.6	HEM	291.5	Hematite remanence.	41.6	400.8	4	4	0	n	3.9925	0
This study	North Shore Volcanics	ns009	ns009a1 : ns009c1 : ns009e1 : ns009f1	DE-FM : DA-DIR-TILT	pmagpy-2.03	DE-SPEC	4.6	HEM	281.9	Hematite remanence.	49	407	4	4	0	n	3.9926	100
