tab 	measurements
citations	dir_dec	dir_inc	experiment	magn_moment	meas_pos_z	method_codes	number	quality	specimen	standard	timestamp	treat_ac_field	treat_temp
This study	17.92872147	-68.34506957	SI1-13.0-D:NRM_demag(T,Hac)0	6.76E-07	0.467	LP-DIR-AF:LT-AF-Z	756593	g	SI1-13.0-D	u	2011-08-06T18:47:07Z	0.04	300
This study	340.90628938	-40.91116904	SI1-13.4-D:NRM_demag(T,Hac)0	1.20E-06	0.667	LP-DIR-AF:LT-AF-Z	756594	g	SI1-13.4-D	u	2011-08-06T18:47:22Z	0.04	300
This study	353.398886501	-72.09458119	SI1-14.2-D:NRM_demag(T,Hac)0	8.03E-07	0.867	LP-DIR-AF:LT-AF-Z	756595	g	SI1-14.2-D	u	2011-08-06T18:47:38Z	0.04	300
This study	354.921186011	-65.73435602	SI1-14.4-D:NRM_demag(T,Hac)0	7.25E-06	1.067	LP-DIR-AF:LT-AF-Z	756596	g	SI1-14.4-D	u	2011-08-06T18:47:53Z	0.04	300
This study	355.453822951	-36.66145069	SI1-14.9-D:NRM_demag(T,Hac)0	7.44E-06	1.267	LP-DIR-AF:LT-AF-Z	756597	g	SI1-14.9-D	u	2011-08-06T18:48:08Z	0.04	300
This study	350.313563556	-38.96943689	SI1-12.5-D:NRM_demag(T,Hac)0	6.03E-07	0.067	LP-DIR-AF:LT-AF-Z	756598	g	SI1-12.5-D	u	2011-08-06T18:52:31Z	0.05	300
This study	343.42943294	-28.50051652	SI1-12.55-D:NRM_demag(T,Hac)0	3.11E-06	0.267	LP-DIR-AF:LT-AF-Z	756599	g	SI1-12.55-D	u	2011-08-06T18:52:46Z	0.05	300
This study	20.13208828	-63.18627802	SI1-13.0-D:NRM_demag(T,Hac)0	4.78E-07	0.467	LP-DIR-AF:LT-AF-Z	756600	g	SI1-13.0-D	u	2011-08-06T18:53:01Z	0.05	300
This study	336.96327094	-39.12772221	SI1-13.4-D:NRM_demag(T,Hac)0	8.13E-07	0.667	LP-DIR-AF:LT-AF-Z	756601	g	SI1-13.4-D	u	2011-08-06T18:53:16Z	0.05	300
This study	356.210795442	-79.45393141	SI1-14.2-D:NRM_demag(T,Hac)0	5.40E-07	0.867	LP-DIR-AF:LT-AF-Z	756602	g	SI1-14.2-D	u	2011-08-06T18:53:31Z	0.05	300
This study	353.977301622	-66.1475408	SI1-14.4-D:NRM_demag(T,Hac)0	5.63E-06	1.067	LP-DIR-AF:LT-AF-Z	756603	g	SI1-14.4-D	u	2011-08-06T18:53:46Z	0.05	300
This study	354.730750006	-37.19149172	SI1-14.9-D:NRM_demag(T,Hac)0	5.72E-06	1.267	LP-DIR-AF:LT-AF-Z	756604	g	SI1-14.9-D	u	2011-08-06T18:54:01Z	0.05	300
This study	346.80028534	-38.53566818	SI1-12.5-D:NRM_demag(T,Hac)0	4.48E-07	0.067	LP-DIR-AF:LT-AF-Z	756605	g	SI1-12.5-D	u	2011-08-06T18:58:32Z	0.06	300
This study	343.1651479	-29.38513794	SI1-12.55-D:NRM_demag(T,Hac)0	2.62E-06	0.267	LP-DIR-AF:LT-AF-Z	756606	g	SI1-12.55-D	u	2011-08-06T18:58:48Z	0.06	300
This study	352.168119349	-64.6016739	SI1-13.0-D:NRM_demag(T,Hac)0	3.50E-07	0.467	LP-DIR-AF:LT-AF-Z	756607	g	SI1-13.0-D	u	2011-08-06T18:59:03Z	0.06	300
This study	331.97112856	-36.48318627	SI1-13.4-D:NRM_demag(T,Hac)0	5.88E-07	0.667	LP-DIR-AF:LT-AF-Z	756608	g	SI1-13.4-D	u	2011-08-06T18:59:18Z	0.06	300
This study	335.53823503	-78.53992684	SI1-14.2-D:NRM_demag(T,Hac)0	4.24E-07	0.867	LP-DIR-AF:LT-AF-Z	756609	g	SI1-14.2-D	u	2011-08-06T18:59:33Z	0.06	300
This study	353.948966431	-66.54310962	SI1-14.4-D:NRM_demag(T,Hac)0	4.71E-06	1.067	LP-DIR-AF:LT-AF-Z	756610	g	SI1-14.4-D	u	2011-08-06T18:59:48Z	0.06	300
This study	355.405948176	-36.7028099	SI1-14.9-D:NRM_demag(T,Hac)0	4.85E-06	1.267	LP-DIR-AF:LT-AF-Z	756611	g	SI1-14.9-D	u	2011-08-06T19:00:04Z	0.06	300
This study	357.17733304	-31.80252593	SI1-12.5-D:NRM_demag(T,Hac)0	2.80E-07	0.067	LP-DIR-AF:LT-AF-Z	756612	g	SI1-12.5-D	u	2011-08-06T19:04:50Z	0.08	300
