tab 	pmag_results
average_age	average_age_high	average_age_low	average_age_unit	average_alpha95	average_dec	average_height	average_inc	average_lat	average_lon	average_n	average_nn	er_citation_names	er_location_names	er_site_names	magic_method_codes	pmag_result_name	tilt_dec_corr	tilt_dec_uncorr	tilt_inc_corr	tilt_inc_uncorr	vgp_alpha95	vgp_lat	vgp_lon
1106	1110	1103	Ma	6.9	117.8	1570.6	-56.2	48.7620	-87.6140		7	This study	Simpson Island	SI9(387.6 to 395.3)	DE-FM:LP-DC4:LP-DIR-AF	SI9(387.6 to 395.3)	117.8	137.6	-56.2	-46.8		44.1	191.4
1106	1110	1103	Ma	4.1	118.3	1578.3	-63.8	48.7617	-87.6138		7	This study	Simpson Island	SI9(395.3 to 399.3)	DE-FM:LP-DC4:LP-DIR-AF	SI9(395.3 to 399.3)	118.3	143.2	-63.8	-53.4		49.0	201.9
1106	1110	1103	Ma	3	119.4	1983.0	-72.7	48.7525	-87.5971		6	This study	Simpson Island	SI4(0.0 to 13.8)	DE-FM:LP-DC4:LP-DIR-AF	SI4(0.0 to 13.8)	119.4	152.7	-72.7	-60.8		54.1	220.8
1106	1110	1103	Ma	2.2	111.4	1996.8	-72.6	48.7524	-87.5973		6	This study	Simpson Island	SI4(13.8 to 20.2)	DE-FM:LP-DC4:LP-DIR-AF	SI4(13.8 to 20.2)	111.4	148.6	-72.6	-62.2		49.9	222.2
1106	1110	1103	Ma	3.4	100.7	2004.4	-70.8	48.7520	-87.5972		7	This study	Simpson Island	SI4(21.4 to 30.0)	DE-FM:LP-DC4:LP-DIR-AF	SI4(21.4 to 30.0)	100.7	140.7	-70.8	-63.1		43.4	221.9
1106	1110	1103	Ma	5.1	143.2	2022.7	-73.9	48.7516	-87.5967		6	This study	Simpson Island	SI4(39.7 to 44.7)	DE-FM:LP-DC4:LP-DIR-AF	SI4(39.7 to 44.7)	143.2	165.5	-73.9	-58.5		66.2	224.4
1106	1110	1103	Ma	3.3	132.4	2055.3	-72.7	48.7508	-87.5957		6	This study	Simpson Island	SI4(72.3 to 74.6)	DE-FM:LP-DC4:LP-DIR-AF	SI4(72.3 to 74.6)	132.4	159.1	-72.7	-58.6		60.9	219.0
1106	1110	1103	Ma	1.8	131.4	2057.6	-65	48.7507	-87.5953		6	This study	Simpson Island	SI4(74.6 to 80.0)	DE-FM:LP-DC4:LP-DIR-AF	SI4(74.6 to 80.0)	131.4	152.5	-65	-52		57.9	198.0
1106	1110	1103	Ma	4.7	119.8	2063.2	-64.8	48.7505	-87.5951		8	This study	Simpson Island	SI4(80.2 to 100.7)	DE-FM:LP-DC4:LP-DIR-AF	SI4(80.2 to 100.7)	119.8	145.1	-64.8	-54.1		50.5	203.1
1106	1110	1103	Ma	4.3	120.7	2089.0	-56.8	48.7499	-87.5953		7	This study	Simpson Island	SI4(106.0 to 121.4)	DE-FM:LP-DC4:LP-DIR-AF	SI4(106.0 to 121.4)	120.7	140	-56.8	-46.6		46.4	190.3
1106	1110	1103	Ma	4.1	111.5	2104.4	-50.9	48.7494	-87.5954		7	This study	Simpson Island	SI4(121.4 to 127.3)	DE-FM:LP-DC4:LP-DIR-AF	SI4(121.4 to 127.3)	111.5	129.6	-50.9	-43.6		36.9	190.4
