tab 	magic_measurements
er_citation_names	er_expedition_name	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	measurement_date	measurement_dec	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_pos_z	measurement_standard	treatment_ac_field	treatment_temp
This study	Midcontinent Rift 2011	Simpson Island	SI1-14.4	SI1(11.8 to 26.4)	SI1-14.4-D	SI1-14.4-D:NRM_demag(T,Hac)0	IRM-SRM-U	LT-AF-Z:LP-DIR-AF	2011:08:06:18:47:53.00	-5.078813989	g	-65.73435602	7.25E-06	756596	1.067	u	0.04	300
This study	Midcontinent Rift 2011	Simpson Island	SI1-14.9	SI1(11.8 to 26.4)	SI1-14.9-D	SI1-14.9-D:NRM_demag(T,Hac)0	IRM-SRM-U	LT-AF-Z:LP-DIR-AF	2011:08:06:18:48:08.00	-4.546177049	g	-36.66145069	7.44E-06	756597	1.267	u	0.04	300
This study	Midcontinent Rift 2011	Simpson Island	SI1-12.5	SI1(11.8 to 26.4)	SI1-12.5-D	SI1-12.5-D:NRM_demag(T,Hac)0	IRM-SRM-U	LT-AF-Z:LP-DIR-AF	2011:08:06:18:52:31.00	-9.686436444	g	-38.96943689	6.03E-07	756598	0.067	u	0.05	300
This study	Midcontinent Rift 2011	Simpson Island	SI1-12.55	SI1(11.8 to 26.4)	SI1-12.55-D	SI1-12.55-D:NRM_demag(T,Hac)0	IRM-SRM-U	LT-AF-Z:LP-DIR-AF	2011:08:06:18:52:46.00	-16.57056706	g	-28.50051652	3.11E-06	756599	0.267	u	0.05	300
This study	Midcontinent Rift 2011	Simpson Island	SI1-13.0	SI1(11.8 to 26.4)	SI1-13.0-D	SI1-13.0-D:NRM_demag(T,Hac)0	IRM-SRM-U	LT-AF-Z:LP-DIR-AF	2011:08:06:18:53:01.00	20.13208828	g	-63.18627802	4.78E-07	756600	0.467	u	0.05	300
This study	Midcontinent Rift 2011	Simpson Island	SI1-13.4	SI1(11.8 to 26.4)	SI1-13.4-D	SI1-13.4-D:NRM_demag(T,Hac)0	IRM-SRM-U	LT-AF-Z:LP-DIR-AF	2011:08:06:18:53:16.00	-23.03672906	g	-39.12772221	8.13E-07	756601	0.667	u	0.05	300
This study	Midcontinent Rift 2011	Simpson Island	SI1-14.2	SI1(11.8 to 26.4)	SI1-14.2-D	SI1-14.2-D:NRM_demag(T,Hac)0	IRM-SRM-U	LT-AF-Z:LP-DIR-AF	2011:08:06:18:53:31.00	-3.789204558	g	-79.45393141	5.40E-07	756602	0.867	u	0.05	300
This study	Midcontinent Rift 2011	Simpson Island	SI1-14.4	SI1(11.8 to 26.4)	SI1-14.4-D	SI1-14.4-D:NRM_demag(T,Hac)0	IRM-SRM-U	LT-AF-Z:LP-DIR-AF	2011:08:06:18:53:46.00	-6.022698378	g	-66.1475408	5.63E-06	756603	1.067	u	0.05	300
This study	Midcontinent Rift 2011	Simpson Island	SI1-14.9	SI1(11.8 to 26.4)	SI1-14.9-D	SI1-14.9-D:NRM_demag(T,Hac)0	IRM-SRM-U	LT-AF-Z:LP-DIR-AF	2011:08:06:18:54:01.00	-5.269249994	g	-37.19149172	5.72E-06	756604	1.267	u	0.05	300
This study	Midcontinent Rift 2011	Simpson Island	SI1-12.5	SI1(11.8 to 26.4)	SI1-12.5-D	SI1-12.5-D:NRM_demag(T,Hac)0	IRM-SRM-U	LT-AF-Z:LP-DIR-AF	2011:08:06:18:58:32.00	-13.19971466	g	-38.53566818	4.48E-07	756605	0.067	u	0.06	300
This study	Midcontinent Rift 2011	Simpson Island	SI1-12.55	SI1(11.8 to 26.4)	SI1-12.55-D	SI1-12.55-D:NRM_demag(T,Hac)0	IRM-SRM-U	LT-AF-Z:LP-DIR-AF	2011:08:06:18:58:48.00	-16.8348521	g	-29.38513794	2.62E-06	756606	0.267	u	0.06	300
This study	Midcontinent Rift 2011	Simpson Island	SI1-13.0	SI1(11.8 to 26.4)	SI1-13.0-D	SI1-13.0-D:NRM_demag(T,Hac)0	IRM-SRM-U	LT-AF-Z:LP-DIR-AF	2011:08:06:18:59:03.00	-7.831880651	g	-64.6016739	3.50E-07	756607	0.467	u	0.06	300
This study	Midcontinent Rift 2011	Simpson Island	SI1-13.4	SI1(11.8 to 26.4)	SI1-13.4-D	SI1-13.4-D:NRM_demag(T,Hac)0	IRM-SRM-U	LT-AF-Z:LP-DIR-AF	2011:08:06:18:59:18.00	-28.02887144	g	-36.48318627	5.88E-07	756608	0.667	u	0.06	300
