tab 	magic_measurements																							
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_csd	measurement_dec	measurement_description	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_positions	measurement_sd_x	measurement_sd_y	measurement_sd_z	measurement_standard	measurement_temp	treatment_ac_field	treatment_dc_field	treatment_temp
This study	Agate Point	AP1-4	AP1	AP1-4a	AP1-4a:LP-DIR-T	hargrave 2016-04-26 16:25:08	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.8	258.2		g	-78.5	1.54E-05	8	1	3.46E-07	3.11E-07	2.23E-07	u	273	0	0	723
This study	Agate Point	AP1-4	AP1	AP1-4a	AP1-4a:LP-DIR-T	hargrave 2016-05-02 13:19:22	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.6	259.4		g	-78.5	1.42E-05	9	1	2.82E-07	2.66E-07	1.20E-07	u	273	0	0	748
This study	Agate Point	AP1-4	AP1	AP1-4a	AP1-4a:LP-DIR-T	hargrave 2016-05-02 19:42:20	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.7	261.1		g	-78.6	1.32E-05	10	1	2.64E-07	2.65E-07	1.65E-07	u	273	0	0	773
This study	Agate Point	AP1-4	AP1	AP1-4a	AP1-4a:LP-DIR-T	hargrave 2016-05-03 18:35:27	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.6	263.8		g	-78.7	1.18E-05	11	1	2.26E-07	2.30E-07	1.43E-07	u	273	0	0	798
This study	Agate Point	AP1-4	AP1	AP1-4a	AP1-4a:LP-DIR-T	hargrave 2016-05-12 14:15:52	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.6	259.2		g	-78.7	9.90E-06	12	1	1.93E-07	1.79E-07	1.47E-07	u	273	0	0	823
This study	Agate Point	AP1-4	AP1	AP1-4a	AP1-4a:LP-DIR-T	hargrave 2016-05-16 11:56:43	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.6	260.8		g	-78.7	8.14E-06	13	1	1.65E-07	1.55E-07	1.08E-07	u	273	0	0	833
This study	Agate Point	AP1-4	AP1	AP1-4a	AP1-4a:LP-DIR-T	hargrave 2016-05-16 17:57:15	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.7	259.6		g	-78.4	6.53E-06	14	1	1.53E-07	1.24E-07	9.45E-08	u	273	0	0	843
This study	Agate Point	AP1-4	AP1	AP1-4a	AP1-4a:LP-DIR-T	hargrave 2016-05-17 14:14:23	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.7	259.9		g	-78.4	5.44E-06	15	1	1.22E-07	1.04E-07	7.76E-08	u	273	0	0	848
This study	Agate Point	AP1-4	AP1	AP1-4a	AP1-4a:LP-DIR-T	hargrave 2016-05-18 11:07:17	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.6	262.4		g	-78.3	4.83E-06	16	1	9.62E-08	8.88E-08	5.94E-08	u	273	0	0	853
This study	Agate Point	AP1-5	AP1	AP1-5a	AP1-5a:LP-DIR-T	hargrave 2016-04-08 16:20:12	LT-NO:LP-DIR-T	pmagpy-3.4.0	1.9	309.6		g	-42.8	3.83E-05	1	1	6.28E-07	9.10E-07	6.70E-07	u	273	0	0	273
